2023-02-17 09:21:00.348 PKT [7964] ERROR broken auth file
2023-02-17 09:21:00.349 PKT [7964] FATAL unix socket is in use, cannot continue
2023-02-17 09:21:31.604 PKT [8043] ERROR broken auth file
2023-02-17 09:21:31.605 PKT [8043] FATAL unix socket is in use, cannot continue
2023-02-17 09:21:49.745 PKT [8200] ERROR broken auth file
2023-02-17 09:21:49.746 PKT [8202] LOG kernel file descriptor limit: 1024 (hard: 1048576); max_client_conn: 100, max expected fd use: 132
2023-02-17 09:21:49.747 PKT [8202] LOG listening on 0.0.0.0:6433
2023-02-17 09:21:49.747 PKT [8202] LOG listening on [::]:6433
2023-02-17 09:21:49.747 PKT [8202] LOG listening on unix:/tmp/.s.PGSQL.6433
2023-02-17 09:21:49.747 PKT [8202] LOG process up: PgBouncer 1.18.0, libevent 2.1.8-stable (epoll), adns: c-ares 1.14.0, tls: OpenSSL 1.1.1  11 Sep 2018
2023-02-17 09:21:55.185 PKT [8237] ERROR broken auth file
2023-02-17 09:21:55.186 PKT [8237] FATAL unix socket is in use, cannot continue
2023-02-17 09:22:49.751 PKT [8202] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2023-02-17 09:23:49.750 PKT [8202] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2023-02-17 09:23:59.380 PKT [8963] FATAL unix socket is in use, cannot continue
2023-02-17 09:24:25.295 PKT [9127] LOG stale pidfile, removing
2023-02-17 09:24:25.295 PKT [9129] LOG kernel file descriptor limit: 1024 (hard: 1048576); max_client_conn: 100, max expected fd use: 152
2023-02-17 09:24:25.295 PKT [9129] LOG listening on 0.0.0.0:6433
2023-02-17 09:24:25.295 PKT [9129] LOG listening on [::]:6433
2023-02-17 09:24:25.295 PKT [9129] LOG listening on unix:/tmp/.s.PGSQL.6433
2023-02-17 09:24:25.295 PKT [9129] LOG process up: PgBouncer 1.18.0, libevent 2.1.8-stable (epoll), adns: c-ares 1.14.0, tls: OpenSSL 1.1.1  11 Sep 2018
2023-02-17 09:25:25.298 PKT [9129] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2023-02-17 09:26:25.294 PKT [9129] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
